Indicator,SurveyYear,CountryName,AGEGROUP (DISPLAY),SEX (DISPLAY),CHILDCAUSE (DISPLAY),Value
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,1-59 months,,HIV/AIDS,0.10959
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,0-27 days,,Tetanus,0.01204
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,1-59 months,,Tetanus,0.00057
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,0-27 days,,Meningitis/encephalitis,0.00991
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,0-4 years,,Malaria,0.04985
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,0-27 days,,Acute lower respiratory infections,0.06552
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,0-4 years,,Prematurity,0.13813
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,1-59 months,,Sepsis and other infectious conditions of the newborn,0
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,0-4 years,,Sepsis and other infectious conditions of the newborn,0.03642
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,1-59 months,,Congenital anomalies,0.03551
Distribution of causes of death among children aged < 5 years (%),2004,Gabon,1-59 months,,Injuries,0.04423
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-27 days,,Diarrhoeal diseases,0.00603
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,1-59 months,,Diarrhoeal diseases,0.14625
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-27 days,,Measles,0
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-4 years,,Meningitis/encephalitis,0.01707
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-27 days,,Malaria,0
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-4 years,,Acute lower respiratory infections,0.15896
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,1-59 months,,Birth asphyxia and birth trauma,0.01771
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,0-4 years,,Birth asphyxia and birth trauma,0.11429
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,1-59 months,,Other Group 1 (postneonatal only),0.12565
Distribution of causes of death among children aged < 5 years (%),2005,Gabon,1-59 months,,Other noncommunicable diseases (postneonatal only),0.04665
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-27 days,,HIV/AIDS,0.0025
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,1-59 months,,HIV/AIDS,0.16443
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-27 days,,Tetanus,0.01082
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-4 years,,Measles,0.03507
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-27 days,,Meningitis/encephalitis,0.01041
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-4 years,,Malaria,0.0431
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,1-59 months,,Prematurity,0.02212
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-4 years,,Prematurity,0.17058
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,1-59 months,,Sepsis and other infectious conditions of the newborn,0
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,1-59 months,,Congenital anomalies,0.05322
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,0-27 days,,Injuries,0.00756
Distribution of causes of death among children aged < 5 years (%),2006,Gabon,1-59 months,,Injuries,0.06539
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-27 days,,Diarrhoeal diseases,0.00568
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-4 years,,Tetanus,0.00437
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-27 days,,Measles,0
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-4 years,,Meningitis/encephalitis,0.017
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,1-59 months,,Acute lower respiratory infections,0.21293
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-4 years,,Acute lower respiratory infections,0.15448
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,1-59 months,,Birth asphyxia and birth trauma,0.01737
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,1-59 months,,Other Group 1 (postneonatal only),0.12007
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,0-27 days,,Other noncommunicable diseases (postneonatal only),0.00051
Distribution of causes of death among children aged < 5 years (%),2007,Gabon,1-59 months,,Other noncommunicable diseases (postneonatal only),0.04582
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-27 days,,HIV/AIDS,0.00243
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-4 years,,Diarrhoeal diseases,0.0818
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-27 days,,Tetanus,0.00923
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-4 years,,Measles,0.01179
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,1-59 months,,Malaria,0.07126
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-4 years,,Malaria,0.0415
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,1-59 months,,Prematurity,0.02347
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,1-59 months,,Sepsis and other infectious conditions of the newborn,0
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-27 days,,Congenital anomalies,0.09407
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,1-59 months,,Congenital anomalies,0.05827
Distribution of causes of death among children aged < 5 years (%),2008,Gabon,0-27 days,,Injuries,0.00779
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-4 years,,HIV/AIDS,0.09544
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-27 days,,Diarrhoeal diseases,0.00531
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-4 years,,Tetanus,0.00392
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,1-59 months,,Meningitis/encephalitis,0.02111
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-4 years,,Meningitis/encephalitis,0.01656
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,1-59 months,,Acute lower respiratory infections,0.2158
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,1-59 months,,Birth asphyxia and birth trauma,0.01916
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-27 days,,Other Group 1 (postneonatal only),0.04148
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,1-59 months,,Other Group 1 (postneonatal only),0.13019
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-27 days,,Other noncommunicable diseases (postneonatal only),0.00056
Distribution of causes of death among children aged < 5 years (%),2009,Gabon,0-4 years,,Injuries,0.04506
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-27 days,,HIV/AIDS,0.0022
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-4 years,,Diarrhoeal diseases,0.07596
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,1-59 months,,Measles,0.06153
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-4 years,,Measles,0.03587
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,1-59 months,,Malaria,0.08323
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,1-59 months,,Prematurity,0.02362
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-27 days,,Sepsis and other infectious conditions of the newborn,0.13184
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,1-59 months,,Sepsis and other infectious conditions of the newborn,0
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-27 days,,Congenital anomalies,0.10047
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-4 years,,Other noncommunicable diseases (postneonatal only),0.02944
Distribution of causes of death among children aged < 5 years (%),2010,Gabon,0-27 days,,Injuries,0.0078
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-4 years,,HIV/AIDS,0.08872
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,1-59 months,,Tetanus,0.00046
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-4 years,,Tetanus,0.00341
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,1-59 months,,Meningitis/encephalitis,0.01624
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,1-59 months,,Acute lower respiratory infections,0.18701
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-27 days,,Birth asphyxia and birth trauma,0.25546
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,1-59 months,,Birth asphyxia and birth trauma,0.01889
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-27 days,,Other Group 1 (postneonatal only),0.042
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-4 years,,Congenital anomalies,0.07809
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-27 days,,Other noncommunicable diseases (postneonatal only),0.0006
Distribution of causes of death among children aged < 5 years (%),2011,Gabon,0-4 years,,Injuries,0.04574
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,1-59 months,,Diarrhoeal diseases,0.11527
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-4 years,,Diarrhoeal diseases,0.06959
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,1-59 months,,Measles,0.10053
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,1-59 months,,Malaria,0.09671
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-27 days,,Prematurity,0.36255
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,1-59 months,,Prematurity,0.02335
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-27 days,,Sepsis and other infectious conditions of the newborn,0.1357
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-4 years,,Other Group 1 (postneonatal only),0.09233
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-27 days,,Congenital anomalies,0.10795
Distribution of causes of death among children aged < 5 years (%),2012,Gabon,0-4 years,,Other noncommunicable diseases (postneonatal only),0.02894
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,1-59 months,,HIV/AIDS,0.14944
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-4 years,,HIV/AIDS,0.08534
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,1-59 months,,Tetanus,0.00047
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,1-59 months,,Meningitis/encephalitis,0.01576
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-27 days,,Acute lower respiratory infections,0.06362
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,1-59 months,,Acute lower respiratory infections,0.19243
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-27 days,,Birth asphyxia and birth trauma,0.25382
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-4 years,,Sepsis and other infectious conditions of the newborn,0.06056
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-27 days,,Other Group 1 (postneonatal only),0.04419
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-4 years,,Congenital anomalies,0.08557
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,1-59 months,,Injuries,0.07912
Distribution of causes of death among children aged < 5 years (%),2013,Gabon,0-4 years,,Injuries,0.04826
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,1-59 months,,Diarrhoeal diseases,0.11747
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,1-59 months,,Measles,0.02622
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-27 days,,Malaria,0
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,1-59 months,,Malaria,0.11547
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-27 days,,Prematurity,0.34964
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-4 years,,Birth asphyxia and birth trauma,0.12313
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-27 days,,Sepsis and other infectious conditions of the newborn,0.14272
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-4 years,,Other Group 1 (postneonatal only),0.09819
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,1-59 months,,Other noncommunicable diseases (postneonatal only),0.05369
Distribution of causes of death among children aged < 5 years (%),2014,Gabon,0-4 years,,Other noncommunicable diseases (postneonatal only),0.03029
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,1-59 months,,HIV/AIDS,0.12296
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,1-59 months,,Tetanus,0.00046
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-27 days,,Meningitis/encephalitis,0.00995
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,1-59 months,,Meningitis/encephalitis,0.01566
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-27 days,,Acute lower respiratory infections,0.06254
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-4 years,,Prematurity,0.16648
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-27 days,,Birth asphyxia and birth trauma,0.25082
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-4 years,,Sepsis and other infectious conditions of the newborn,0.06387
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,1-59 months,,Congenital anomalies,0.06741
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,0-4 years,,Congenital anomalies,0.09011
Distribution of causes of death among children aged < 5 years (%),2015,Gabon,1-59 months,,Injuries,0.08185
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,1-59 months,,Diarrhoeal diseases,0.0936
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-27 days,,Measles,0
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,1-59 months,,Measles,0.19809
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-27 days,,Malaria,0
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-4 years,,Acute lower respiratory infections,0.12506
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-27 days,,Prematurity,0.34226
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-4 years,,Birth asphyxia and birth trauma,0.11172
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,1-59 months,,Other Group 1 (postneonatal only),0.12001
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,0-4 years,,Other Group 1 (postneonatal only),0.09007
Distribution of causes of death among children aged < 5 years (%),2016,Gabon,1-59 months,,Other noncommunicable diseases (postneonatal only),0.04638
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,1-59 months,,HIV/AIDS,0.08562
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-27 days,,Tetanus,0.00493
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,1-59 months,,Tetanus,0.00041
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-27 days,,Meningitis/encephalitis,0.00981
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-4 years,,Malaria,0.06176
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-27 days,,Acute lower respiratory infections,0.06194
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-4 years,,Prematurity,0.15831
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,1-59 months,,Sepsis and other infectious conditions of the newborn,0
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,0-4 years,,Sepsis and other infectious conditions of the newborn,0.06209
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,1-59 months,,Congenital anomalies,0.06367
Distribution of causes of death among children aged < 5 years (%),2017,Gabon,1-59 months,,Injuries,0.07725
Life expectancy at age 60 (years),2019,Gabon,,Male,,15.15166
Life expectancy at age 60 (years),2019,Gabon,,Female,,19.25307
Life expectancy at age 60 (years),2019,Gabon,,Both sexes,,17.16747
nMx - age-specific death rate between ages x and x+n,2000,Gabon,45-49 years,Male,,0.01514
nMx - age-specific death rate between ages x and x+n,2000,Gabon,50-54 years,Male,,0.0211
nMx - age-specific death rate between ages x and x+n,2000,Gabon,55-59 years,Male,,0.02923
nMx - age-specific death rate between ages x and x+n,2000,Gabon,60-64 years,Male,,0.04174
nMx - age-specific death rate between ages x and x+n,2005,Gabon,30-34 years,Male,,0.00449
nMx - age-specific death rate between ages x and x+n,2005,Gabon,35-39 years,Male,,0.00678
nMx - age-specific death rate between ages x and x+n,2005,Gabon,40-44 years,Male,,0.00987
nMx - age-specific death rate between ages x and x+n,2005,Gabon,45-49 years,Male,,0.01343
nMx - age-specific death rate between ages x and x+n,2005,Gabon,50-54 years,Male,,0.01866
nMx - age-specific death rate between ages x and x+n,2010,Gabon,20-24 years,Male,,0.00242
nMx - age-specific death rate between ages x and x+n,2010,Gabon,25-29 years,Male,,0.00281
nMx - age-specific death rate between ages x and x+n,2010,Gabon,30-34 years,Male,,0.00386
nMx - age-specific death rate between ages x and x+n,2010,Gabon,35-39 years,Male,,0.00574
nMx - age-specific death rate between ages x and x+n,2015,Gabon,10-14 years,Male,,0.00181
nMx - age-specific death rate between ages x and x+n,2015,Gabon,15-19  years,Male,,0.00162
nMx - age-specific death rate between ages x and x+n,2015,Gabon,20-24 years,Male,,0.00225
nMx - age-specific death rate between ages x and x+n,2015,Gabon,25-29 years,Male,,0.00252
nMx - age-specific death rate between ages x and x+n,2019,Gabon,<1 year,Male,,0.03523
nMx - age-specific death rate between ages x and x+n,2019,Gabon,1-4 years,Male,,0.00308
nMx - age-specific death rate between ages x and x+n,2019,Gabon,5-9 years,Male,,0.00111
nMx - age-specific death rate between ages x and x+n,2019,Gabon,10-14 years,Male,,0.00172
nMx - age-specific death rate between ages x and x+n,2019,Gabon,15-19  years,Male,,0.00151
nMx - age-specific death rate between ages x and x+n,2019,Gabon,80-84 years,Male,,0.13935
nMx - age-specific death rate between ages x and x+n,2019,Gabon,85+ years,Male,,0.22988
nMx - age-specific death rate between ages x and x+n,2000,Gabon,<1 year,Female,,0.05058
nMx - age-specific death rate between ages x and x+n,2000,Gabon,1-4 years,Female,,0.00797
nMx - age-specific death rate between ages x and x+n,2000,Gabon,70-74 years,Female,,0.05164
nMx - age-specific death rate between ages x and x+n,2000,Gabon,75-79 years,Female,,0.07789
nMx - age-specific death rate between ages x and x+n,2000,Gabon,80-84 years,Female,,0.11917
nMx - age-specific death rate between ages x and x+n,2000,Gabon,85+ years,Female,,0.20439
nMx - age-specific death rate between ages x and x+n,2005,Gabon,60-64 years,Female,,0.02314
nMx - age-specific death rate between ages x and x+n,2005,Gabon,65-69 years,Female,,0.03237
nMx - age-specific death rate between ages x and x+n,2005,Gabon,70-74 years,Female,,0.0493
nMx - age-specific death rate between ages x and x+n,2005,Gabon,75-79 years,Female,,0.07509
nMx - age-specific death rate between ages x and x+n,2010,Gabon,45-49 years,Female,,0.00991
nMx - age-specific death rate between ages x and x+n,2010,Gabon,50-54 years,Female,,0.0117
nMx - age-specific death rate between ages x and x+n,2010,Gabon,55-59 years,Female,,0.01449
nMx - age-specific death rate between ages x and x+n,2010,Gabon,60-64 years,Female,,0.01982
nMx - age-specific death rate between ages x and x+n,2010,Gabon,65-69 years,Female,,0.02821
nMx - age-specific death rate between ages x and x+n,2015,Gabon,35-39 years,Female,,0.00467
nMx - age-specific death rate between ages x and x+n,2015,Gabon,40-44 years,Female,,0.00581
nMx - age-specific death rate between ages x and x+n,2015,Gabon,45-49 years,Female,,0.00732
nMx - age-specific death rate between ages x and x+n,2015,Gabon,50-54 years,Female,,0.00917
nMx - age-specific death rate between ages x and x+n,2019,Gabon,25-29 years,Female,,0.00167
nMx - age-specific death rate between ages x and x+n,2019,Gabon,30-34 years,Female,,0.00257
nMx - age-specific death rate between ages x and x+n,2019,Gabon,35-39 years,Female,,0.0037
nMx - age-specific death rate between ages x and x+n,2019,Gabon,40-44 years,Female,,0.005
nMx - age-specific death rate between ages x and x+n,2000,Gabon,10-14 years,Both sexes,,0.00166
nMx - age-specific death rate between ages x and x+n,2000,Gabon,15-19  years,Both sexes,,0.00159
nMx - age-specific death rate between ages x and x+n,2000,Gabon,20-24 years,Both sexes,,0.00292
nMx - age-specific death rate between ages x and x+n,2000,Gabon,25-29 years,Both sexes,,0.00455
nMx - age-specific death rate between ages x and x+n,2000,Gabon,30-34 years,Both sexes,,0.00639
nMx - age-specific death rate between ages x and x+n,2005,Gabon,1-4 years,Both sexes,,0.0071
nMx - age-specific death rate between ages x and x+n,2005,Gabon,5-9 years,Both sexes,,0.00167
nMx - age-specific death rate between ages x and x+n,2005,Gabon,10-14 years,Both sexes,,0.0017
nMx - age-specific death rate between ages x and x+n,2005,Gabon,15-19  years,Both sexes,,0.00143
nMx - age-specific death rate between ages x and x+n,2005,Gabon,85+ years,Both sexes,,0.21461
nMx - age-specific death rate between ages x and x+n,2010,Gabon,<1 year,Both sexes,,0.04315
nMx - age-specific death rate between ages x and x+n,2010,Gabon,1-4 years,Both sexes,,0.00542
nMx - age-specific death rate between ages x and x+n,2010,Gabon,5-9 years,Both sexes,,0.00145
nMx - age-specific death rate between ages x and x+n,2010,Gabon,75-79 years,Both sexes,,0.08136
nMx - age-specific death rate between ages x and x+n,2010,Gabon,80-84 years,Both sexes,,0.12281
nMx - age-specific death rate between ages x and x+n,2010,Gabon,85+ years,Both sexes,,0.2072
nMx - age-specific death rate between ages x and x+n,2015,Gabon,<1 year,Both sexes,,0.03668
nMx - age-specific death rate between ages x and x+n,2015,Gabon,60-64 years,Both sexes,,0.02456
nMx - age-specific death rate between ages x and x+n,2015,Gabon,65-69 years,Both sexes,,0.03524
nMx - age-specific death rate between ages x and x+n,2015,Gabon,70-74 years,Both sexes,,0.052
nMx - age-specific death rate between ages x and x+n,2015,Gabon,75-79 years,Both sexes,,0.07744
nMx - age-specific death rate between ages x and x+n,2015,Gabon,80-84 years,Both sexes,,0.11754
nMx - age-specific death rate between ages x and x+n,2019,Gabon,50-54 years,Both sexes,,0.01161
nMx - age-specific death rate between ages x and x+n,2019,Gabon,55-59 years,Both sexes,,0.01603
nMx - age-specific death rate between ages x and x+n,2019,Gabon,60-64 years,Both sexes,,0.02328
